Term,Description,Examples,Business Logic,Data Type,Technical Aliases,Synonyms,Logical Formula
Premium,The amount paid by the policyholder to the insurance company for coverage,Monthly premium: $150; Annual premium: $1800,Calculated based on risk factors and coverage amount; Must be paid to keep policy active,Currency/Decimal,premium_amount|policy_premium|prem_amt,Insurance Premium|Policy Payment,
Claim Amount,The monetary value requested or paid for an insurance claim,Auto claim: $5000; Property damage: $15000,Must not exceed policy coverage limits; Subject to deductibles,Currency/Decimal,claim_amt|paid_amount|settlement_amount,Settlement Amount|Claim Payment|Payout,
Deductible,The amount the policyholder must pay before insurance coverage begins,Standard deductible: $500; High deductible: $2500,Higher deductibles result in lower premiums; Applied per claim or annually,Currency/Decimal,deductible_amt|ded|excess,Out-of-Pocket Amount|Excess,
Policy Number,Unique identifier for each insurance policy,POL-2024-001; INS-GEN-12345,Must be unique across all policies; Used for all policy transactions,String/VARCHAR,policy_id|policy_no|pol_num,Policy ID|Contract Number,
Coverage Limit,Maximum amount the insurer will pay for a covered loss,Property: $500000; Liability: $1000000,Determined at policy inception; Cannot be exceeded regardless of actual loss,Currency/Decimal,coverage_amt|max_coverage|limit_amt,Maximum Coverage|Policy Limit,
Loss Ratio,The ratio of claims paid to premiums earned,Loss ratio: 0.75 (75%); Target: below 0.80,Used to measure profitability and pricing adequacy; Lower is better for insurer,Decimal/Percentage,loss_ratio|claims_ratio|lr,Claims Ratio|Incurred Loss Ratio,(Total Claims Paid / Total Premiums Earned) * 100
Risk Score,Calculated score representing the likelihood of a claim,Low risk: 0.2; High risk: 0.85,Based on actuarial models and historical data; Determines premium pricing,Decimal,risk_rating|underwriting_score|risk_factor,Risk Rating|Underwriting Score,
Policy Holder,Person or entity that owns the insurance policy,John Smith; ABC Corporation,Must be legally eligible to hold insurance; Can differ from insured party,String,policyholder_name|owner|insured_name,Policy Owner|Named Insured,
Claim Status,Current state of a claim in the processing workflow,Approved; Pending Review; Rejected,Follows defined workflow; Changes trigger notifications,String/Enum,claim_state|status|claim_flag,Claim State|Processing Status,
Combined Ratio,Sum of loss ratio and expense ratio,Combined ratio: 95% (profitable); 105% (unprofitable),Industry benchmark for overall profitability; Below 100% indicates profit,Percentage,combined_ratio_pct|cr,Overall Ratio|Underwriting Ratio,(Loss Ratio + Expense Ratio)
