Term,Description,Examples,Data Type,Business Logic,Technical Aliases,Synonyms,Logical Formula
Sum Assured,The guaranteed lump sum amount payable to designated beneficiaries upon the insured's death or at policy maturity for endowment plans. This amount is determined during policy inception through underwriting assessment and remains fixed throughout the policy term serving as the foundation for premium calculation and representing the insurer's maximum liability under the contract.,"$500,000.00, $1,000,000.00, $250,000.00",Decimal(12 2),"Must be at least $50,000 for individual policies; cannot exceed 20 times annual income for term insurance or 10 times for whole life; requires medical underwriting for amounts above $1,000,000; cannot be increased without new underwriting assessment",sum_assured|coverage_amount|death_benefit|face_amount,Death Benefit|Face Value|Coverage Amount,
Surrender Value,The cash amount payable to the policyholder if the policy is voluntarily terminated before its maturity date or the insured's death. This value accumulates over the policy term based on paid premiums investment performance and guaranteed returns minus surrender charges policy loans and administrative fees.,"$12,450.50, $28,900.00, $156,780.25",Decimal(12 2),"Only available after minimum 3 years from policy inception; must be less than or equal to sum assured; reduces to zero if policy loans exceed surrender value; calculation excludes unpaid premiums and interest on loans; policy terminates upon surrender",surrender_value|cash_surrender_value|csv|termination_value,Cash Value|Termination Value|Policy Cash Value,SUM(PremiumPaid) - SurrenderCharges - PolicyFees - OutstandingLoans
Policy Term,The duration in years for which the life insurance policy provides coverage starting from the policy commencement date and ending at the maturity date or term expiration. This period determines premium payment duration coverage availability and maturity benefit eligibility for endowment plans.,"10, 20, 25, 30",Integer,"Must be between 5 and 40 years; maximum term limited by insured age at maturity (typically age 75 or 80); term plus entry age cannot exceed maximum age limit; cannot be modified after policy issuance; determines premium calculation basis",policy_term|term_years|coverage_period|policy_duration,Coverage Period|Policy Duration|Insurance Term,
Persistency Ratio,A retention metric measuring the percentage of life insurance policies that remain active and in-force over a specified period calculated by comparing active policies at period end to policies at period start. This metric indicates customer satisfaction policy affordability and portfolio quality.,"0.88, 0.92, 0.85",Decimal(4 4),"Must be between 0 and 1; calculated monthly quarterly and annually; excludes policies terminated due to maturity or death claims; includes only renewable policies; values below 0.80 trigger retention improvement initiatives",persistency_ratio|retention_rate|policy_retention|continuation_ratio,Retention Rate|Policy Continuation Ratio,COUNT(ActivePolicies_EndPeriod) / COUNT(ActivePolicies_StartPeriod)
Premium Amount,The periodic payment amount required from the policyholder to maintain life insurance coverage calculated based on age gender health status sum assured policy term and actuarial mortality assumptions. This amount can be level guaranteed or variable depending on policy type.,"$150.00, $450.50, $1,200.00",Decimal(10 2),"Must be greater than $0; payment frequency can be monthly quarterly semi-annual or annual; grace period of 30 days applies before policy lapse; cannot be changed for guaranteed premium policies; adjustable for universal life products",premium_amount|policy_premium|premium_charge|periodic_premium,Policy Premium|Premium Payment,
Policy Status,The current state of a life insurance policy indicating whether coverage is active lapsed surrendered or terminated. This status determines coverage validity premium billing requirements and beneficiary payment eligibility.,"active, lapsed, surrendered, matured, terminated",VARCHAR(20),"Must be one of predefined values; only 'active' policies provide death benefit coverage; status changes based on premium payment grace period and policyholder actions; cannot be reactivated after surrender without new underwriting",policy_status|status|coverage_status|policy_state,Coverage Status|Policy State,
Mortality Rate,The statistical probability of death within a specified age and gender cohort used in actuarial calculations for premium pricing reserve estimation and profitability modeling. This rate is derived from population mortality tables and adjusted for insured population characteristics.,"0.002, 0.015, 0.045",Decimal(6 6),"Must be greater than 0 and less than 1; varies by age gender smoking status and health classification; updated periodically based on mortality experience studies; used in pricing and reserving; higher rates result in higher premiums",mortality_rate|death_rate|qx|mortality_probability,Death Rate|Mortality Probability,Deaths(Age_Gender_Cohort) / Population(Age_Gender_Cohort)
Maturity Date,The date when an endowment life insurance policy term ends and the maturity benefit becomes payable to the policyholder if the insured is still alive. This date marks the conclusion of the coverage period and the fulfillment of the policy contract.,"2044-01-01, 2050-06-30, 2035-12-31",Date,"Must be after policy effective date; calculated as effective date plus policy term; cannot be changed after policy issuance; determines final benefit payment date; maturity benefit equals sum assured plus accumulated bonuses",maturity_date|policy_end_date|expiry_date|termination_date,Policy End Date|Expiration Date,
Bonus Amount,Additional amounts credited to participating life insurance policies based on the insurance company's surplus distribution and investment performance. Bonuses increase the sum assured and enhance the maturity or death benefit payable to policyholders.,"$5,000.00, $15,000.00, $25,500.00",Decimal(12 2),"Must be non-negative; depends on company financial performance and actuarial surplus; declared annually or at specific intervals; vests to the policy and cannot be reversed; included in death benefit and maturity benefit calculations; not guaranteed",bonus_amount|policy_bonus|accumulated_bonus|profit_share,Policy Bonus|Profit Bonus|Accumulated Bonus,
Age at Entry,The age of the insured person at the time of policy inception used in premium calculation mortality assessment and policy term determination. This age is a critical underwriting factor affecting pricing coverage eligibility and policy conditions.,"25, 35, 45, 55",Integer,"Must be within minimum and maximum age limits (typically 18-65 for term 0-75 for whole life); affects premium rates and insurability; calculated as age at last birthday or nearest birthday based on company practice; cannot be changed after policy issuance",entry_age|age_at_inception|insured_age|policy_start_age,Insured Age|Entry Age|Age at Inception,
Total Number of Policies,The total count of active life insurance policies in the portfolio with unique policy numbers used to measure business volume monitor growth trends and analyze market penetration. This metric is tracked by product type distribution channel and geographic region.,"25000, 150000, 8500",Integer,"Must be greater than or equal to 0; calculated from unique policy identifiers; updated daily or monthly; excludes surrendered and fully matured policies unless specified; used for portfolio analysis and business planning",policy_count|total_policies|active_policy_count,Policy Count|Portfolio Size|Number of Policies,COUNT(PolicyNumber)
