Field Name,Description,Sample Values,Data Type
policy_number,Unique identifier for each insurance policy,POL-2024-001 POL-2024-002,String
policy_holder_name,Name of the person holding the policy,John Smith Jane Doe,String
premium_amount,Annual premium paid by policyholder,1500.00 2500.00,Decimal
coverage_amount,Maximum amount covered under the policy,500000 1000000,Decimal
policy_start_date,Date when policy coverage begins,2024-01-15 2024-02-01,Date
policy_end_date,Date when policy coverage ends,2025-01-15 2025-02-01,Date
claim_amount,Amount claimed by policyholder,5000 15000,Decimal
claim_status,Current status of the claim,Approved Pending Rejected,String
deductible,Amount policyholder pays before insurance coverage,500 1000,Decimal
policy_type,Type of insurance policy,Auto Home Life,String
claim_date,Date when claim was filed,2024-06-15 2024-07-20,Date
agent_id,Identifier for insurance agent,AGT-001 AGT-002,String
risk_score,Calculated risk score for policy pricing,0.75 0.45,Decimal
total_claims_paid,Sum of all claims paid under policy,8500 22000,Decimal
years_with_company,Number of years customer has been with company,5 10,Integer
